Marca temporal,¿Qué Campus eres?,¿Qué Semestre?,¿Qué Carrera?,¿Has tenido problemas para generar tu horario en UPSite?,¿Qué problemas has tenido?,¿Qué factores tomas en consideración al crear tu horario?,¿Cuántas materias metes por semestre?,"De esas materias, ¿cuántas materias lograste meter?","¿Usarías una aplicación para generar disponibles horarios? En caso de confirmar, ¿qué características te gustaría ver?",Has tenido problemas para ver tus calificaciones?,Qué problemas has tenido (nueva)
25/01/2025 18:01:59,Mixcoac,2,ESDAI,Si,"Problemas de Carga, Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Materias favoritas, Cupo",8+,7,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Tengo indicadores
25/01/2025 18:03:47,Mixcoac,5,Comunicación,Si,"Problemas de Carga, Poca disponibilidad, Se interponen tus horarios, Es difícil planear tu horario","Horas, Materias favoritas",7,7,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas, Compartir horario con amigos o hacer horario con amigos ",Si,Interfaz poco intuitiva
25/01/2025 18:13:45,Mixcoac,2,Derecho,Si,"Problemas de Carga, Poca disponibilidad, Se cierran clases pero siguen mostrándose en el sistema",Profesor,8+,Todas,"Agregar automáticamente tu horario a google calendar, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
25/01/2025 18:16:04,Mixcoac,2,Contaduría,Si,"Interfaz poco intuitiva, Es difícil planear tu horario","Profesor, Horas",6,Todas,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Información incorrecta en las calificaciones
25/01/2025 18:26:18,Mixcoac,6,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",7,6,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Interfaz poco intuitiva
25/01/2025 18:27:53,Mixcoac,4,Mercadotecnia,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas, Cupo",8+,7,Agregar automáticamente tu horario a google calendar,Si,Tengo indicadores
25/01/2025 18:33:32,Mixcoac,6,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Problemas de Carga, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas, Cupo",7,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 18:34:34,Mixcoac,6,Contaduría,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",8+,7,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos",Si,Se tardan en reflejar en UP4U
25/01/2025 18:34:41,Mixcoac,4,Comunicación,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas",8+,Todas,"Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Interfaz poco intuitiva
25/01/2025 18:36:34,Mixcoac,6,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",7,7,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario",Si,Tengo indicadores
25/01/2025 18:43:11,Mixcoac,8,Ingeniería en Animación y Videojuegos,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",7,Todas,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable",No,Tengo indicadores
25/01/2025 18:43:52,Mixcoac,9,Mercadotecnia,Si,"Problemas de Carga, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Horas, Materias favoritas, Cupo",8+,6,"Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 18:46:26,Mixcoac,2,Ingeniería en Animación y Videojuegos,Si,"Problemas de Carga, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,5,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 18:46:26,Mixcoac,2,Ingeniería en Animación y Videojuegos,Si,"Problemas de Carga, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,5,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
25/01/2025 18:48:24,Mixcoac,2,Ingeniería en Innovación y Diseño,Si,"Interfaz poco intuitiva, Es difícil planear tu horario","Horas, Materias favoritas",7,Todas,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario",No,Interfaz poco intuitiva
25/01/2025 18:55:24,Mixcoac,4,Ingeniería Mecatrónica,Si,"Problemas de Carga, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,6,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Campos vacíos
25/01/2025 19:03:34,Mixcoac,8,Finanzas,Si,"Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios","Profesor, Horas",8+,6,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 19:15:51,Mixcoac,6,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Materias favoritas, Cupo",8+,7,"Generar un excel intuitivo de tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas, Disponibilidad para que no queden tan apretados y salgamos tan tarde! Gracias por hacer esto!",Si,Campos vacíos
25/01/2025 19:17:34,Mixcoac,4,Mercadotecnia,Si,"Poca disponibilidad, Es difícil planear tu horario","Profesor, Horas",7,4,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 19:20:16,Mixcoac,6,Negocios Internacionales,Si,"Problemas de Carga, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",7,6,"Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 19:26:52,Mixcoac,2,Ingeniería Mecatrónica,Si,"Interfaz poco intuitiva, Se interponen tus horarios","Horas, Cupo",6,6,"Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Información incorrecta en las calificaciones
25/01/2025 19:39:36,Mixcoac,6,Mercadotecnia,Si,Es difícil planear tu horario,"Profesor, Horas",7,Todas,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Interfaz poco intuitiva
25/01/2025 19:43:37,Mixcoac,8,Mercadotecnia,Si,"Problemas de Carga, Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",8+,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
25/01/2025 20:09:27,Mixcoac,2,Comunicación,Si,"Problemas de Carga, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario, austero","Profesor, Horas, Materias favoritas, Cupo",8+,Todas,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Tengo indicadores
25/01/2025 20:10:48,Mixcoac,2,Pedagogía,Si,"Problemas de Carga, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Horas, Cupo",8+,6,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Interfaz amigable, La capacidad de inscribir automáticamente tu horario",Si,Tiempo de carga amplio
25/01/2025 20:39:00,Mixcoac,4,Finanzas,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",8+,Todas,Generar un excel intuitivo de tu horario,Si,Información incorrecta en las calificaciones
25/01/2025 21:14:59,Ciudad UP,2,ESDAI,No,"Interfaz poco intuitiva, Se interponen tus horarios","Horas, Cupo",8+,Todas,"Generar un excel intuitivo de tu horario, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Interfaz poco intuitiva
25/01/2025 21:20:58,Mixcoac,6,Mercadotecnia,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",7,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
25/01/2025 21:23:12,Mixcoac,8,Mercadotecnia,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,4,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas, Recomendación de horario de acuerdo a profesores que prefieres meter ",Si,Tengo indicadores
25/01/2025 21:33:34,Mixcoac,2,Derecho,Si,"Problemas de Carga, Interfaz poco intuitiva, Es difícil planear tu horario",Profesor,8+,Todas,"Agregar automáticamente tu horario a google calendar, Interfaz amigable",Si,Tengo indicadores
25/01/2025 21:48:47,Mixcoac,8,Finanzas,Si,"Interfaz poco intuitiva, Es difícil planear tu horario",Horas,8+,4,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable",Si,Interfaz poco intuitiva
25/01/2025 21:57:04,Mixcoac,5,Finanzas,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas",8+,Todas,"Elegir horario entre las posibles combinaciones que te ofrecemos, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Se tardan en reflejar en UP4U
25/01/2025 23:16:12,Mixcoac,4,Mercadotecnia,Si,"Problemas de Carga, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario, tienes que volver a iniciar sesión cada 15 min porque se pierde la conexión ",Horas,8+,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Tengo indicadores
25/01/2025 23:25:24,Mixcoac,2,Ingeniería Mecatrónica,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",6,Todas,"Elegir horario entre las posibles combinaciones que te ofrecemos, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tiempo de carga amplio
25/01/2025 23:36:54,Mixcoac,4,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas, Cupo",6,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas, ",Si,Tengo indicadores
25/01/2025 23:59:31,Mixcoac,2,Comunicación,Si,"Poca disponibilidad, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",8+,7,"Agregar automáticamente tu horario a google calendar, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Información incorrecta en las calificaciones
26/01/2025 0:00:24,Mixcoac,4,Mercadotecnia,Si,"Interfaz poco intuitiva, Es difícil planear tu horario","Profesor, Horas",7,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
26/01/2025 0:27:10,Mixcoac,8,Pedagogía,Si,"Problemas de Carga, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas",8+,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Campos vacíos
26/01/2025 0:32:28,Mixcoac,6,Contaduría,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas, Materias favoritas",7,Todas,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
26/01/2025 5:27:49,Mixcoac,4,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Poca disponibilidad, Se interponen tus horarios","Profesor, Horas",7,6,"Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable",Si,Tengo indicadores
26/01/2025 6:50:51,Mixcoac,4,Mercadotecnia,No,"Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,7,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
26/01/2025 7:08:35,Mixcoac,6,Ingeniería en Innovación y Diseño,Si,"Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,Todas,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable",Si,Tiempo de carga amplio
26/01/2025 7:45:00,Mixcoac,1,Mercadotecnia,Si,"Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,5,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Una so que te permita conocer a los profesores con los que podrías tomar clase, que te diga de qué trata la materia y sea amigable visualmente para visualizar tu horario ",Si,Tiempo de carga amplio
26/01/2025 8:15:34,Mixcoac,6,Finanzas,Si,"Poca disponibilidad, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas",7,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
26/01/2025 8:31:04,Mixcoac,6,Pedagogía,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Materias favoritas, Cupo",8+,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Campos vacíos
26/01/2025 8:36:49,Mixcoac,7,Ingeniería Mecatrónica,Si,"Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios","Profesor, Horas",7,6,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable",No,Campos vacíos
26/01/2025 8:54:07,Mixcoac,2,ESDAI,Si,"Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",7,7,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, La capacidad de inscribir automáticamente tu horario",Si,Tengo indicadores
26/01/2025 8:54:49,Mixcoac,8,ESDAI,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",5,5,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Información incorrecta en las calificaciones
26/01/2025 8:55:40,Mixcoac,4,Derecho,Si,"Interfaz poco intuitiva, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas, Materias favoritas, Cupo",8+,Todas,"Agregar automáticamente tu horario a google calendar, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Campos vacíos
26/01/2025 8:57:31,Mixcoac,6,Pedagogía,Si,"Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Se cambian los profesores de un día a otro, sin aviso. ","Profesor, Horas, Cupo",8+,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
26/01/2025 9:06:00,Mixcoac,3,Finanzas,Si,"Interfaz poco intuitiva, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",7,Todas,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
26/01/2025 9:10:18,Mixcoac,7,ESDAI,Si,"Poca disponibilidad, Se interponen tus horarios","Horas, Cupo",6,5,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
26/01/2025 10:04:11,Mixcoac,6,Pedagogía,Si,"Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema","Horas, Cupo",8+,6,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Tiempo de carga amplio
26/01/2025 10:40:42,Mixcoac,4,Negocios Internacionales,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas",8+,6,"Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Tengo indicadores
26/01/2025 12:38:35,Mixcoac,2,Ingeniería Mecatrónica,Si,"Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",6,Todas,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Campos vacíos
26/01/2025 13:31:30,Mixcoac,2,Negocios Internacionales,Si,"Problemas de Carga, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas",7,5,"Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Campos vacíos
26/01/2025 13:46:13,Mixcoac,5,Ingeniería en Innovación y Diseño,Si,"Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",8+,6,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Interfaz poco intuitiva
26/01/2025 13:47:58,Mixcoac,2,Ingeniería en Inteligencia de Datos y Ciberseguridad,Si,"Problemas de Carga, Interfaz poco intuitiva, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",7,Todas,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Interfaz amigable, La capacidad de inscribir automáticamente tu horario",No,Tengo indicadores
26/01/2025 14:12:17,Mixcoac,2,Finanzas,Si,"Interfaz poco intuitiva, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,Todas,"Agregar automáticamente tu horario a google calendar, Interfaz amigable",Si,Tengo indicadores
26/01/2025 14:29:14,Mixcoac,4,Ingeniería en Innovación y Diseño,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",8+,5,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
26/01/2025 17:37:26,Mixcoac,4,Ingeniería en Innovación y Diseño,Si,"Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas",7,5,"Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Se tardan en reflejar en UP4U
26/01/2025 18:17:39,Mixcoac,2,Finanzas,Si,"Problemas de Carga, Interfaz poco intuitiva, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas",7,6,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
26/01/2025 18:26:57,Mixcoac,4,Pedagogía,Si,"Problemas de Carga, Interfaz poco intuitiva, Se interponen tus horarios","Profesor, Horas, Cupo",8+,6,"Agregar automáticamente tu horario a google calendar, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tiempo de carga amplio
26/01/2025 18:36:29,Mixcoac,10,Derecho,Si,"Problemas de Carga, Interfaz poco intuitiva, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Cupo",7,7,"Agregar automáticamente tu horario a google calendar, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Interfaz poco intuitiva
26/01/2025 18:41:26,Ciudad UP,4,Economía,Si,"Problemas de Carga, Se cierran clases pero siguen mostrándose en el sistema","Profesor, Horas",8+,7,"Elegir horario entre las posibles combinaciones que te ofrecemos, La capacidad de inscribir automáticamente tu horario",Si,Interfaz poco intuitiva
26/01/2025 19:29:19,Mixcoac,6,Ingeniería Industrial,Si,"Problemas de Carga, Interfaz poco intuitiva, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",6,6,"Generar un excel intuitivo de tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Campos vacíos
26/01/2025 19:48:23,Mixcoac,4,Ingeniería Mecatrónica,Si,"Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Es difícil planear tu horario","Profesor, Horas, Cupo",6,6,"Agregar automáticamente tu horario a google calendar, Generar un excel intuitivo de tu horario, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Interfaz poco intuitiva
26/01/2025 20:07:07,Mixcoac,4,Ingeniería Industrial,Si,"Problemas de Carga, Interfaz poco intuitiva, Poca disponibilidad, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas, Cupo",7,6,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, Interfaz amigable, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",Si,Tengo indicadores
26/01/2025 20:11:13,Mixcoac,2,ESDAI,Si,"Problemas de Carga, Se interponen tus horarios, Se cierran clases pero siguen mostrándose en el sistema, Es difícil planear tu horario","Profesor, Horas",7,Todas,"Agregar automáticamente tu horario a google calendar, Elegir horario entre las posibles combinaciones que te ofrecemos, La capacidad de inscribir automáticamente tu horario, Recomendación de posibles horarios disponibles en base a tus materias seleccionadas",No,Campos vacíos
